w_0                   w_a                   w_p                   w_phi                 Omega_M               Omega_DE              x1                    x2                    y1                    y2                    c1                    c2                    u                     Lambda_1              Lambda_2              n                     
-0.17239678744        -0.312868418083       -0.276686260135       -0.205841856832       0.680673190735        0.319326805574        0.26311350856         5.48756492047e-14     0.236369521801        3.95473901146e-14     1.26265105615         1.88137933888         6.07586598609e-05     13.7613669688         8.73156700009         15                    
-0.452330217221       -0.14526031084        -0.500750320834       -0.428688187744       0.841076897492        0.158923101561        0.0579228386078       2.14659908858e-14     0.0449876602941       1.38978379976e-14     1.1661766622          1.42432150973         3.07708255054e-05     15.9663174203         8.09660586941         15                    
nan                   nan                   nan                   nan                   nan                   nan                   0.284029506087        6.29831523978e-14     0.194036203834        3.87273747921e-14     1.8375300706          1.89051095178         nan                   24.7234227083         12.6286340482         15                    
-0.423866026138       -0.364235111119       -0.545277729844       -0.459788023501       0.406649796819        0.59335020214         0.145276465003        3.72561017274e-14     0.0987578349087       3.57126116032e-14     1.42705264573         1.66952957856         3.22655718202e-05     21.4536519463         3.62492954658         15                    
-0.530706307451       -0.199561922568       -0.597226948307       -0.556311874752       0.106659388246        0.893340611411        0.0593650941759       7.5926835119e-14      0.0452584737863       7.29284566108e-14     1.42195858504         1.17165821515         1.84978803117e-05     18.6062341026         2.07783736175         15                    
nan                   nan                   nan                   nan                   nan                   nan                   0.188139701977        1.4095839578e-14      0.125408891717        1.17258939878e-14     1.98281416961         1.37737321461         nan                   26.545191047          4.11550386233         15                    
nan                   nan                   nan                   nan                   nan                   nan                   0.240954981761        2.6180981357e-14      0.133843982121        1.84288719922e-14     1.71734769134         1.14042392953         nan                   30.0134982213         4.99585632803         15                    
-0.298160762831       -0.388176490273       -0.427552926256       -0.338941552763       0.531050200297        0.468949798752        0.134447655452        5.58053798744e-14     0.0897949052349       3.98667431478e-14     1.60521478024         1.25312741314         3.08361076452e-05     23.4741342973         5.43076397633         15                    
nan                   nan                   nan                   nan                   nan                   nan                   0.23508801334         5.44484140176e-14     0.1818134195          4.49252210226e-14     1.9531197524          1.61075818739         nan                   22.1763441461         5.17793177633         15                    
-0.380385519864       -0.374050121034       -0.505068893542       -0.416594114644       0.467633541075        0.532366458386        0.0540336646153       5.4835470376e-14      0.0473487435845       3.84560194447e-14     1.96390877634         1.00734340896         2.32164417767e-05     19.1296085568         4.27896655685         15                    
-0.569092979907       -0.188492929287       -0.631923956336       -0.593343866217       0.0961300960409       0.903869903843        0.0899945406234       9.5677212006e-14      0.0689106621713       8.79746789217e-14     1.30374980275         1.00590761085         1.07885026074e-05     17.5086668668         1.85093878162         15                    
nan                   nan                   nan                   nan                   nan                   nan                   0.23979909035         4.97512192947e-14     0.131313004884        3.71699306109e-14     1.69056989182         1.68129205584         nan                   30.2259470654         7.00524728486         15                    
-0.226138968271       -0.237656708247       -0.30535787102        -0.235894191235       0.884038052527        0.115961945335        0.0172919061132       3.44456344137e-14     0.0146280796525       2.05256922633e-14     1.16732809014         1.98514457663         4.62343158566e-05     14.1853883246         14.2986267159         15                    
nan                   nan                   nan                   nan                   nan                   nan                   0.265573980677        6.37970709449e-14     0.227286145973        3.26883565691e-14     1.14009745004         1.38388628525         nan                   13.7097465053         13.3952049319         15                    
-0.443663534525       -0.387080549334       -0.572690384303       -0.464213026787       0.762793158408        0.237206840885        0.0326193231201       2.63445032886e-14     0.0178984668608       2.13014930719e-14     1.45959511882         1.7748875421          2.65951338293e-05     27.8055860671         6.16427555951         15                    
nan                   nan                   nan                   nan                   nan                   nan                   0.299663855209        3.99082864569e-14     0.286624205294        2.64073232735e-14     1.13047952386         1.86291898306         nan                   11.44131734           10.5199624537         15                    
-0.342953361232       -0.323634920069       -0.450831667922       -0.379924194563       0.331568635934        0.668431363542        0.0824027240741       8.41761773841e-14     0.0566063411514       6.24342520674e-14     1.50300845193         1.06778565318         2.2893678767e-05      21.8517610516         3.97565121395         15                    
-0.0978656362898      -0.215734195813       -0.169777034894       -0.123501502523       0.65079456153         0.349205423893        0.171523034235        8.34751515307e-14     0.150948154887        5.22163179679e-14     1.90649783328         1.52451946316         0.000120734594138     18.678347354          9.50574370254         15                    
-0.337193318744       -0.411021797364       -0.474200584532       -0.377643542605       0.563301524509        0.43669847484         0.0415656296279       5.34892469319e-14     0.0265581807199       4.55420505984e-14     1.78992835791         1.73306517435         2.55178082388e-05     26.2819699706         5.24767007595         15                    
-0.0476455740427      -0.171599009321       -0.104845243816       -0.0683845696594      0.853827591155        0.146172364394        0.244153824312        5.68227914338e-14     0.194666153242        3.11707598547e-14     1.53203062267         1.93755134347         0.000210835376612     18.4308062217         16.6974057817         15                    
nan                   nan                   nan                   nan                   nan                   nan                   0.189972661191        6.11936196211e-14     0.11343938963         3.30345992199e-14     1.58791202184         1.38566596508         nan                   26.5140490676         11.934407107          15                    
-0.189431192893       -0.37515585004        -0.314483142906       -0.225189117002       0.886878215483        0.113121782947        0.0665906984638       4.64653230188e-14     0.0361336986609       2.48109307633e-14     1.18484707818         1.62899204702         3.96220315393e-05     25.0335400643         14.6455783894         15                    
-0.642149163177       -0.214714683368       -0.713720724299       -0.662273103755       0.193495206441        0.806504792107        0.156702187526        2.1539977337e-14      0.128982061127        2.08089422828e-14     1.11218766825         1.04629774686         3.81034309701e-05     14.2505429836         1.65674638468         15                    
-0.424292917414       -0.402705837147       -0.558528196463       -0.458334135044       0.561560169496        0.438439829806        0.0475846227864       3.71337127516e-14     0.0284016087086       3.0684172713e-14      1.53448148656         1.42907054272         2.64367567955e-05     26.0200853633         4.40558011782         15                    
nan                   nan                   nan                   nan                   nan                   nan                   0.249693627944        3.3709321493e-14      0.166705430286        3.12984655206e-14     1.55466572697         1.9183328926          nan                   23.0506418924         4.77973077138         15                    
-0.299764859153       -0.377919972344       -0.425738183267       -0.341145867606       0.478749423549        0.521250571141        0.107544625012        2.99384619342e-14     0.0560288103274       1.99247961667e-14     1.50339748167         1.03025994406         7.28698644393e-05     29.9337193887         5.06483366816         15                    
-0.683369631947       0.000876210850478     -0.683077561663       -0.635020039564       0.728232285542        0.271767712596        0.179281979751        1.04523709513e-14     0.164846741235        9.32218117648e-15     1.65823122432         1.41879499487         4.31498736542e-05     16.1223467753         3.53076344712         15                    
-0.123042777761       -0.258123197879       -0.209083843721       -0.147517210791       0.909325392352        0.090674605986        0.172252330731        6.49961017639e-14     0.137068707678        3.33231024847e-14     1.2686176149          1.92187569914         4.07613594472e-05     16.3529255142         19.1659539042         15                    
-0.4864917291         -0.366460264309       -0.608645150536       -0.505889998813       0.675095824635        0.324904173799        0.0183158577047       2.0595571989e-14      0.0117973404046       1.52756597077e-14     1.6945595292          1.20748237463         3.95704891448e-05     25.2473993252         4.69409879183         15                    
-0.210782412943       -0.356691318949       -0.329679519259       -0.243679337944       0.801805347454        0.198194651173        0.0868543278419       5.33466674507e-14     0.0743370444877       3.49088585485e-14     1.61673899033         1.82912087294         3.70520344723e-05     17.4245105657         10.5675599757         15                    
-0.217390557309       -0.385070721709       -0.345747464545       -0.257234640763       0.715257381609        0.284742617579        0.126455321316        6.84744623786e-14     0.0963463843568       4.9679180577e-14      1.76844301844         1.85406844719         2.84953624846e-05     21.2804910544         8.44853502938         15                    
nan                   nan                   nan                   nan                   nan                   nan                   0.207400212895        7.57661327848e-14     0.170799575572        4.63473216269e-14     1.82728389583         1.43500219939         nan                   19.7547954093         9.3325086623          15                    
nan                   nan                   nan                   nan                   nan                   nan                   0.281567074388        1.01558407576e-14     0.169991622038        6.86965185282e-15     1.83375133732         1.62647834351         nan                   28.3848752962         8.54017321027         15                    
-0.371146418835       -0.30412879635        -0.472522684285       -0.380753137544       0.789003828816        0.210996168707        0.185231165261        2.00717524323e-14     0.17425852764         1.23121295152e-14     1.8360598095          1.2403894738          4.97651416109e-05     16.734918573          7.80989450273         15                    
-0.20272428738        -0.378607594921       -0.32892681902        -0.240713871083       0.783883348736        0.216116649973        0.0994914037952       5.8367669301e-14      0.0809155574263       3.76544067306e-14     1.9239506963          1.71232533293         3.59308172559e-05     20.6970847753         10.1228755493         15                    
-0.179632666107       -0.306667164242       -0.281855054188       -0.208094302108       0.790770928429        0.209229069268        0.0951168652759       5.59593358994e-14     0.0893872288929       3.62290240246e-14     1.3326830664          1.85494094334         4.79928568266e-05     13.3978088167         11.0029784717         15                    
-0.35885001686        -0.287590168322       -0.454713406301       -0.36553454728        0.81895736629         0.181042630066        0.274136770723        1.46804502219e-14     0.262532185958        9.9749672347e-15      1.90818343736         1.67318406497         6.03652777124e-05     16.7669775092         8.7362736278          15                    
nan                   nan                   nan                   nan                   nan                   nan                   0.227178804589        1.28087687753e-14     0.148651142667        8.35287060733e-15     1.54477189913         1.24606502689         nan                   23.5095276765         6.77338992065         15                    
-0.462735496439       -0.306318083441       -0.564841524253       -0.494718292895       0.285150992685        0.714849006983        0.063479198145        6.23220341297e-14     0.0559664977056       6.21762314986e-14     1.45408666645         1.56349711472         1.82208951539e-05     15.6142533375         2.92878860886         15                    
-0.348631663083       -0.317648808622       -0.454514599291       -0.381332111232       0.38128881988         0.618711179144        0.11522461739         6.02386528109e-14     0.113419057664        4.72329654617e-14     1.30022258378         1.23798341114         3.12446762378e-05     12.2392249707         4.18112956179         15                    
-0.391232623781       -0.333415329179       -0.50237106684        -0.409750842457       0.664005273822        0.335994724719        0.0756020844594       2.95016423683e-14     0.0746171720541       2.21880758976e-14     1.7764278178          1.44239703803         3.81988296135e-05     15.3441199049         5.69823813787         15                    
-0.285940523442       -0.341945334726       -0.399922301685       -0.324375848421       0.428455641273        0.571544357631        0.0124033506711       7.60001476977e-14     0.0074499861616       5.89892371231e-14     1.12747705792         1.37445973118         3.31052780026e-05     21.6068677777         4.93876655671         15                    
-0.561941916253       -0.0665972640441      -0.584141004268       -0.521452321667       0.822707176671        0.177292821757        0.172438749011        1.30435150595e-14     0.156557850603        1.0420801685e-14      1.75582999828         1.72224587988         3.96536695418e-05     17.0274472304         6.11758983059         15                    
-0.321151627356       -0.345695348456       -0.436383410174       -0.360265287395       0.385025769736        0.6149742293          0.0278164767959       7.02936786653e-14     0.0174243057351       5.69891825621e-14     1.933232504           1.36999103016         3.10555297838e-05     28.0572650087         4.38114745636         15                    
nan                   nan                   nan                   nan                   nan                   nan                   0.27132362264         1.17477135745e-14     0.158532467523        8.37167354644e-15     1.58214998211         1.17526616983         nan                   27.1142558254         5.03159587365         15                    
-0.271047424753       -0.268820154768       -0.360654143009       -0.302698569742       0.321422103892        0.67857789035         0.215328643096        4.73339981705e-14     0.162493258491        3.83686236027e-14     1.01928417241         1.42108493507         7.58837293125e-05     15.147402358          4.60307501269         15                    
-0.176744864231       -0.384354069545       -0.304862887413       -0.218259928682       0.794271559644        0.205728438532        0.0260528072489       6.27409073246e-14     0.0132524869525       3.41342872932e-14     1.30048582391         1.28755716658         4.27121749272e-05     28.3693054544         10.7893643848         15                    
-0.146121167549       -0.357072707632       -0.265145403426       -0.185948259281       0.81877426946         0.181225720829        0.123977123029        3.35724438833e-14     0.0756891871427       1.83912682029e-14     1.96463208851         1.4547733523          9.85440057967e-05     29.127163621          12.1972207774         15                    
-0.159351687863       -0.331302457391       -0.269785840327       -0.195759026628       0.732584431362        0.267415565645        0.198317732509        6.04750481078e-14     0.155895244308        3.21320323748e-14     1.48608887812         1.12582782171         5.47087956461e-05     18.4064191277         9.76536890037         15                    
nan                   nan                   nan                   nan                   nan                   nan                   0.253390009441        6.55836838344e-14     0.17912193648         3.39521312476e-14     1.69198786101         1.07139732197         nan                   22.6543442309         9.79293458896         15                    
-0.240897222255       -0.33469035232        -0.352460673029       -0.26403531447        0.892314846782        0.107685150759        0.209731415677        2.45169591316e-14     0.147541347797        1.39439017422e-14     1.42884658282         1.77660852544         4.95948816156e-05     20.6047050608         14.0204307518         15                    
-0.395503498524       -0.359181681882       -0.515230725818       -0.426555130681       0.498202049813        0.50179794926         0.14615567343         4.01356966827e-14     0.118358076543        3.30493553353e-14     1.26668812377         1.40417962093         3.04352347504e-05     15.9570999537         4.34316490216         15                    
-0.201897553854       -0.302823714537       -0.302838792033       -0.228617234475       0.746422459057        0.253577538693        0.076990934625        5.36291156556e-14     0.0750664153039       3.74887089114e-14     1.24089072554         1.91300883212         4.74333991815e-05     11.9703063547         9.55870923508         15                    
-0.317849589911       -0.29598590756        -0.416511559097       -0.352762035803       0.303538854398        0.696461144537        0.155023207227        7.3811851485e-14      0.107772731979        6.93481484406e-14     1.67255997258         1.74739754973         3.26428529799e-05     22.945655474          4.08489868594         15                    
-0.192935486829       -0.349728134492       -0.30951153166        -0.229192933749       0.720187226994        0.279812771772        0.047827923033        7.51432913388e-14     0.039402209704        4.80520047049e-14     1.40075446389         1.51872479351         3.51248523456e-05     16.6780516731         8.99043389551         15                    
-0.512181494231       -0.172187845861       -0.569577442852       -0.486989773347       0.911326702584        0.088673294839        0.0374940318614       1.07662083097e-14     0.0238699767215       6.23886670568e-15     1.90854191866         1.32693196944         5.07659650483e-05     27.3577649405         9.66233717837         15                    
-0.318022853957       -0.312265049554       -0.422111203809       -0.354645148866       0.324989405388        0.675010592788        0.081636588469        6.02020648851e-14     0.0425879686291       4.61796072576e-14     1.55721696926         1.18011932652         4.27088857143e-05     30.4723620612         4.15853090724         15                    
-0.341354633357       0.0119417245558       -0.337374058505       -0.303138147976       0.92970525653         0.070294739535        0.217464280429        1.19936991506e-14     0.214017581403        6.57278962593e-15     1.60827962553         1.84048451247         6.27292827096e-05     14.3679036696         15.8191959709         15                    
-0.454683168207       -0.325303673662       -0.563117726094       -0.488734414371       0.30897393393         0.691026065623        0.0178947590355       5.65798157953e-14     0.0135123805379       5.57458494849e-14     1.4194765198          1.56555477928         2.11298278138e-05     18.8105617931         3.04732388525         15                    
-0.228010784298       -0.313226713329       -0.332419688741       -0.25024501651        0.856110383911        0.143889614779        0.0643391127457       4.36964510526e-14     0.0561028207933       2.36870770448e-14     1.51103468346         1.44459872213         3.61977831319e-05     16.2645387239         12.390485891          15                    
-0.340028885652       -0.260803795167       -0.426963484041       -0.370748047509       0.249010877565        0.750989121536        0.187027797618        8.48722567825e-14     0.174051637726        8.42877279687e-14     1.22961360096         1.82891036016         2.99802703551e-05     12.7921472817         3.7307227576          15                    
