    z       PC1      PC2      PC3      PC4
0.012658 +0.12836 -0.29482 +0.40213 -0.38635
0.038961 +0.39733 -0.91120 +1.23987 -1.19214
0.066667 +0.60608 -1.25109 +1.58263 -1.41672
0.095890 +0.77656 -1.39293 +1.55589 -1.20185
0.126761 +0.96024 -1.54328 +1.51577 -0.95255
0.159420 +1.14137 -1.65021 +1.40103 -0.63168
0.194030 +1.30089 -1.65062 +1.03791 -0.21991
0.230769 +1.46108 -1.58450 +0.45364 +0.28552
0.269841 +1.61201 -1.42723 -0.01858 +0.82834
0.311475 +1.74186 -1.17382 -0.53570 +1.26286
0.355932 +1.84871 -0.82136 -1.06319 +1.51311
0.403509 +1.87286 -0.41731 -1.51722 +1.23265
0.454545 +1.86743 +0.08823 -1.79049 +0.53957
0.509434 +1.85410 +0.58603 -1.72862 -0.19956
0.568627 +1.79641 +1.02973 -1.38062 -0.88382
0.632653 +1.58078 +1.40547 -0.61228 -1.56381
0.702128 +1.43177 +1.69385 +0.13944 -1.80589
0.777778 +1.29988 +1.78358 +0.61511 -1.57336
0.860465 +1.11973 +1.74551 +1.06987 -1.00051
0.951220 +0.94497 +1.61781 +1.41441 -0.16782
1.051282 +0.76962 +1.41190 +1.58068 +0.63393
1.162162 +0.61801 +1.16374 +1.52569 +1.18991
1.285714 +0.46048 +0.85202 +1.30028 +1.54719
1.424242 +0.36216 +0.65360 +1.12038 +1.65835
1.580645 +0.33746 +0.62733 +1.09422 +1.64636
1.758621 +0.31534 +0.60735 +1.07724 +1.64449
1.962963 +0.28776 +0.57210 +1.03389 +1.60588
2.200000 +0.22914 +0.44313 +0.80631 +1.26934
2.478261 +0.14846 +0.24268 +0.42587 +0.66037
2.809524 +0.09586 +0.12151 +0.19538 +0.28201
3.210526 +0.07064 +0.07783 +0.11869 +0.16351
3.705882 +0.05190 +0.05062 +0.07304 +0.09403
4.333333 +0.04004 +0.03927 +0.05673 +0.07287
5.153846 +0.02991 +0.02941 +0.04244 +0.05497
6.272727 +0.02119 +0.02076 +0.02973 +0.03909
7.888889 +0.01401 +0.01412 +0.02062 +0.02646
